-3.1,77.7
-3.052,76.56666667
-3.003,75.38333333
-2.758,71.46666667
-2.775,71.18333333
-2.525,67.71666667
-2.608,67.43333333
-2.5,65.7
-2.209,61.98333333
-2.143,61.71666667
-2.003,59.86666667
-1.895,58.6
-1.963,58.26666667
-1.778,56.16666667
-1.707,55.46666667
-1.607,54.33333333
-1.515,54.06666667
-1.375,52.56666667
-1.339,52.1
-1.195,50.71666667
-1.091,49.91666667
-0.989,48.15
-1,47.95
-0.5,44.15
0,40.81666667
0.421,38.4
0.989,34.98333333
1.5,32.23333333
2,29.81666667
2.32,28.45
2.561,27.41666667
3.393,23.83333333
3.761,22.43333333
4.031,21.33333333
4.266,20.48333333
4.486,19.63333333
4.649,19.11666667
4.829,18.41666667
5.249,16.98333333
5.609,15.78333333
5.737,15.38333333
5.929,14.78333333
6,14.51666667
6.249,13.78333333
6.449,13.33333333
6.589,12.7
6.785,12.13333333
7.269,10.73333333
7.393,10.4
7.653,9.65
7.933,8.983333333
8.513,7.333333333
8.861,6.4
9.261,5
9.677,4
10.297,3
